kytreasno,kycrspid,tcusip,caldt,tdatdt,tmatdt,clean_price,accrued_interest_begin,dirty_price,coupon_rate,coupon_frequency,prev_coupon_date,next_coupon_date,day_count_basis,tdbid,tdask,tdyld,itype
204084.0,20250215.107620,912810ET,2025-01-02,1995-02-15,2025-02-15,100.36364205,2.9008152173913,103.2644572673913,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.36302669999999,100.3642574,0.00012029871305283,1.0
204084.0,20250215.107620,912810ET,2025-01-03,1995-02-15,2025-02-15,100.339371,2.921535326087,103.260906326087,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.33879859999999,100.3399434,0.00012389606590663,1.0
204084.0,20250215.107620,912810ET,2025-01-06,1995-02-15,2025-02-15,100.33065334999999,2.9836956521739,103.3143490021739,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.3287697,100.33253699999999,0.00012025286936741,1.0
204084.0,20250215.107620,912810ET,2025-01-07,1995-02-15,2025-02-15,100.32337964999999,3.0044157608696,103.3277954108696,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.3227271,100.32403219999999,0.00011999930247726,1.0
204084.0,20250215.107620,912810ET,2025-01-08,1995-02-15,2025-02-15,100.3160338,3.0251358695652,103.3411696695652,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.3155043,100.3165633,0.00011975120857571,1.0
204084.0,20250215.107620,912810ET,2025-01-09,1995-02-15,2025-02-15,100.30749155,3.0458559782609003,103.3533475282609,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.3069764,100.30800669999999,0.00011980301512791,1.0
204084.0,20250215.107620,912810ET,2025-01-10,1995-02-15,2025-02-15,100.28139289999999,3.0665760869565,103.34796898695649,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.2809207,100.28186509999999,0.00012457647872578,1.0
204084.0,20250215.107620,912810ET,2025-01-13,1995-02-15,2025-02-15,100.27309414999999,3.1287364130435003,103.40183056304349,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.2726362,100.27355209999999,0.00012011278034579,1.0
204084.0,20250215.107620,912810ET,2025-01-14,1995-02-15,2025-02-15,100.2641896,3.1494565217391,103.41364612173909,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.2637238,100.2646554,0.00012029562215447,1.0
204084.0,20250215.107620,912810ET,2025-01-15,1995-02-15,2025-02-15,100.2565611,3.1701766304348,103.4267377304348,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.25591709999999,100.2572051,0.00012009268793238,1.0
204084.0,20250215.107620,912810ET,2025-01-16,1995-02-15,2025-02-15,100.2468672,3.1908967391304,103.43776393913039,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.24622389999999,100.24751049999999,0.00012054233759977,1.0
204084.0,20250215.107620,912810ET,2025-01-17,1995-02-15,2025-02-15,100.21138335,3.2116168478261002,103.4230001978261,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.2110256,100.2117411,0.0001296210684324,1.0
204084.0,20250215.107620,912810ET,2025-01-21,1995-02-15,2025-02-15,100.20378614999998,3.2944972826087002,103.49828343260869,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.2034427,100.20412959999999,0.00012125439991248,1.0
204084.0,20250215.107620,912810ET,2025-01-22,1995-02-15,2025-02-15,100.19410965,3.3152173913044,103.5093270413044,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.19378049999999,100.1944388,0.00012186093280077,1.0
204084.0,20250215.107620,912810ET,2025-01-23,1995-02-15,2025-02-15,100.18894555,3.3359375,103.52488305,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.18863069999999,100.1892604,0.00012062554875401,1.0
204084.0,20250215.107620,912810ET,2025-01-24,1995-02-15,2025-02-15,100.163045,3.3566576086957003,103.5197026086957,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.1627731,100.1633169,0.00012838315526621,1.0
204084.0,20250215.107620,912810ET,2025-01-27,1995-02-15,2025-02-15,100.15414189999998,3.4188179347826,103.57295983478258,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.15388429999999,100.1543995,0.00012158405640786,1.0
204084.0,20250215.107620,912810ET,2025-01-28,1995-02-15,2025-02-15,100.1446582,3.4395380434783003,103.58419624347829,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.1444149,100.14490149999999,0.00012231194982299,1.0
204084.0,20250215.107620,912810ET,2025-01-29,1995-02-15,2025-02-15,100.13587045,3.4602581521739,103.5961286021739,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.13564149999999,100.13609939999999,0.00012273099713197,1.0
204084.0,20250215.107620,912810ET,2025-01-30,1995-02-15,2025-02-15,100.12796904999999,3.4809782608696,103.6089473108696,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.1277544,100.1281837,0.00012266857954715,1.0
204084.0,20250215.107620,912810ET,2025-01-31,1995-02-15,2025-02-15,100.10297674999998,3.5016983695652,103.60467511956519,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.10280499999999,100.10314849999999,0.00013359546197179,1.0
204084.0,20250215.107620,912810ET,2025-02-03,1995-02-15,2025-02-15,100.0945529,3.5638586956522,103.6584115956522,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.09439549999999,100.09471029999999,0.00012378316193385,1.0
204084.0,20250215.107620,912810ET,2025-02-04,1995-02-15,2025-02-15,100.0859215,3.5845788043478,103.6705003043478,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.0857784,100.0860646,0.00012443491985051,1.0
204084.0,20250215.107620,912810ET,2025-02-05,1995-02-15,2025-02-15,100.077469,3.6052989130435003,103.68276791304349,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.0773402,100.07759779999999,0.00012504584337361,1.0
204084.0,20250215.107620,912810ET,2025-02-06,1995-02-15,2025-02-15,100.0693957,3.6260190217391,103.6954147217391,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.06928119999999,100.0695102,0.00012538776422464,1.0
204084.0,20250215.107620,912810ET,2025-02-07,1995-02-15,2025-02-15,100.04272854999999,3.6467391304348,103.68946768043479,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.04265699999999,100.0428001,0.00014823032205201,1.0
204084.0,20250215.107620,912810ET,2025-02-10,1995-02-15,2025-02-15,100.03412565,3.7088994565217,103.7430251065217,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.0340684,100.03418289999999,0.00013389168230976,1.0
204084.0,20250215.107620,912810ET,2025-02-11,1995-02-15,2025-02-15,100.02561424999999,3.7296195652174,103.7552338152174,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.0255713,100.0256572,0.00013794578083738,1.0
204084.0,20250215.107620,912810ET,2025-02-12,1995-02-15,2025-02-15,100.01709145,3.7503396739131003,103.7674311239131,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.01706279999999,100.0171201,0.00014474384734944,1.0
204084.0,20250215.107620,912810ET,2025-02-13,1995-02-15,2025-02-15,100.00856959999999,3.7710597826087002,103.77962938260869,7.625,2,2024-08-15,2025-02-15,ACT/ACT,100.0085553,100.00858389999999,0.00015834231174262,1.0
204085.0,20250815.106870,912810EV,2025-01-02,1995-08-15,2025-08-15,101.87334695,2.6154891304348,104.4888360804348,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.8671875,101.8795064,0.00010304456620321,1.0
204085.0,20250815.106870,912810EV,2025-01-03,1995-08-15,2025-08-15,101.8420144,2.6341711956522,104.4761855956522,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.8359375,101.8480913,0.00010407231064385,1.0
204085.0,20250815.106870,912810EV,2025-01-06,1995-08-15,2025-08-15,101.81073465,2.6902173913044,104.5009520413044,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.8046875,101.81678179999999,0.00010442192303277,1.0
204085.0,20250815.106870,912810EV,2025-01-07,1995-08-15,2025-08-15,101.8263349,2.7088994565217,104.53523435652171,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.8203125,101.8323573,0.00010337749741961,1.0
204085.0,20250815.106870,912810EV,2025-01-08,1995-08-15,2025-08-15,101.81458849999999,2.7275815217391,104.54217002173908,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.80859369999999,101.8205833,0.00010355129820558,1.0
204085.0,20250815.106870,912810EV,2025-01-09,1995-08-15,2025-08-15,101.79112204999998,2.7462635869565,104.53738563695649,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.78515619999999,101.7970879,0.00010425538852696,1.0
204085.0,20250815.106870,912810EV,2025-01-10,1995-08-15,2025-08-15,101.75588275,2.7649456521739,104.5208284021739,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.75,101.7617655,0.00010549977733874,1.0
204085.0,20250815.106870,912810EV,2025-01-13,1995-08-15,2025-08-15,101.724603,2.8209918478261002,104.5455948478261,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.71875,101.73045599999999,0.00010588222218682,1.0
204085.0,20250815.106870,912810EV,2025-01-14,1995-08-15,2025-08-15,101.750621,2.8396739130435003,104.5902949130435,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.7447917,101.7564503,0.00010432916605562,1.0
204085.0,20250815.106870,912810EV,2025-01-15,1995-08-15,2025-08-15,101.72455009999999,2.8583559782609003,104.58290607826089,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.71875,101.73035019999999,0.00010517827888261,1.0
204085.0,20250815.106870,912810EV,2025-01-16,1995-08-15,2025-08-15,101.74535914999998,2.8770380434783003,104.62239719347828,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.73958329999999,101.75113499999999,0.00010385017053887,1.0
204085.0,20250815.106870,912810EV,2025-01-17,1995-08-15,2025-08-15,101.68925775,2.8957201086957003,104.5849778586957,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.68359369999999,101.69492179999999,0.00010611201310867,1.0
204085.0,20250815.106870,912810EV,2025-01-21,1995-08-15,2025-08-15,101.6853246,2.9704483695652,104.6557729695652,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.6796875,101.69096169999999,0.00010485126494417,1.0
204085.0,20250815.106870,912810EV,2025-01-22,1995-08-15,2025-08-15,101.67357809999999,2.9891304347826,104.66270853478258,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.66796869999999,101.6791875,0.00010504508183381,1.0
204085.0,20250815.106870,912810EV,2025-01-23,1995-08-15,2025-08-15,101.72173364999999,3.0078125,104.72954614999999,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.71614579999999,101.72732149999999,0.00010235236368995,1.0
204085.0,20250815.106870,912810EV,2025-01-24,1995-08-15,2025-08-15,101.69560969999999,3.0264945652174,104.7221042652174,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.6901042,101.70111519999999,0.00010323230842326,1.0
204085.0,20250815.106870,912810EV,2025-01-27,1995-08-15,2025-08-15,101.6929787,3.0825407608696,104.7755194608696,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.6875,101.6984574,0.00010220053453141,1.0
204085.0,20250815.106870,912810EV,2025-01-28,1995-08-15,2025-08-15,101.68904545,3.101222826087,104.79026827608699,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.68359369999999,101.6944972,0.00010200084144127,1.0
204085.0,20250815.106870,912810EV,2025-01-29,1995-08-15,2025-08-15,101.6694856,3.1199048913044,104.7893904913044,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.6640625,101.67490869999999,0.0001025755051576,1.0
204085.0,20250815.106870,912810EV,2025-01-30,1995-08-15,2025-08-15,101.65773904999999,3.1385869565217,104.7963260065217,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.65234369999999,101.66313439999999,0.00010276596882316,1.0
204085.0,20250815.106870,912810EV,2025-01-31,1995-08-15,2025-08-15,101.63421935,3.1572690217391,104.79148837173909,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.62890619999999,101.63953249999999,0.00010354950929807,1.0
204085.0,20250815.106870,912810EV,2025-02-03,1995-08-15,2025-08-15,101.62247285,3.2133152173913,104.83578806739129,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.6171875,101.62775819999999,0.00010295079109266,1.0
204085.0,20250815.106870,912810EV,2025-02-04,1995-08-15,2025-08-15,101.61853955,3.2319972826087002,104.8505368326087,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.61328119999999,101.6237979,0.00010274805424121,1.0
204085.0,20250815.106870,912810EV,2025-02-05,1995-08-15,2025-08-15,101.61460629999999,3.2506793478261002,104.86528564782608,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.609375,101.6198376,0.00010254323106939,1.0
204085.0,20250815.106870,912810EV,2025-02-06,1995-08-15,2025-08-15,101.57453655,3.2693614130435003,104.8438979630435,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.5693359,101.5797372,0.00010420843775175,1.0
204085.0,20250815.106870,912810EV,2025-02-07,1995-08-15,2025-08-15,101.5467846,3.2880434782609003,104.8348280782609,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.5416667,101.5519025,0.00010525022513355,1.0
204085.0,20250815.106870,912810EV,2025-02-10,1995-08-15,2025-08-15,101.5441535,3.344089673913,104.888243173913,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.5390625,101.5492445,0.00010417489000701,1.0
204085.0,20250815.106870,912810EV,2025-02-11,1995-08-15,2025-08-15,101.53631354999999,3.3627717391304,104.89908528913038,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.53125,101.54137709999999,0.00010417942435977,1.0
204085.0,20250815.106870,912810EV,2025-02-12,1995-08-15,2025-08-15,101.51284705,3.3814538043478,104.8943008543478,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.5078125,101.5178816,0.0001050206088597,1.0
204085.0,20250815.106870,912810EV,2025-02-13,1995-08-15,2025-08-15,101.5180292,3.4001358695652,104.9181650695652,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.51302079999999,101.5230376,0.00010432901615448,1.0
204085.0,20250815.106870,912810EV,2025-02-14,1995-08-15,2025-08-15,101.49318344999999,3.4188179347826,104.91200138478258,6.875,2,2024-08-15,2025-02-15,ACT/ACT,101.48828119999999,101.49808569999999,0.00010525522612083,1.0
204085.0,20250815.106870,912810EV,2025-02-18,1995-08-15,2025-08-15,101.49461355,0.056975138121547,101.55158868812154,6.875,2,2025-02-15,2025-08-15,ACT/ACT,101.48242189999999,101.50680519999999,0.0001033743442373,1.0
